DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_available_inbound_flights,tot_closed_alerts,tot_entries_x,tot_entries_with_alerts,tot_flights_with_alerts,tot_generated_alerts,tot_investigated_entries,tot_investigated_flights,tot_missing_update,tot_negative_outcome,tot_open_alerts,tot_other,tot_relevant_alerts,tot_viewed_not_investigated_flights,DEPARTURE_CITY,DEPARTURE_COUNTRY,DEPARTURE_COUNTRY_CODE,ARRIVAL_CITY,ZONE,n_high_risk,n_medium_risk,alarm_reason_top,tot_entries_y,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,pct_nat_ALB,alert_rate_AFG,pct_nat_AFG,alert_rate_doc_N.D.,alert_rate_doc_Visto,alert_rate_doc_Permesso di soggiorno,pct_SEGNALATO,pct_IN ATTESA,pct_RESPINTO,pct_FERMATO,data_coverage,route,if_anomaly,if_score,lof_anomaly,lof_score,dbscan_anomaly,z_max,z_anomaly,anomaly_votes,anomaly_consensus
MHD,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,5.0,6.0,1.0,5.0,0.16666666666666666,0.16666666666666666,1.2,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,right_only,MHD→FCO,0,-0.09036665705141078,0,1.1616818910483278,0,3.154159415409377,1,1,0
MHD,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,11.0,14.0,0.0,5.0,0.0,0.0,1.2727272727272727,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,right_only,MHD→MXP,0,-0.11920485957423738,0,1.0510920887749893,0,2.615637637217659,0,0,0
MHD,VCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,right_only,MHD→VCE,0,-0.08402519641223005,0,1.169123696997545,0,3.9673363010005116,1,1,0
MIA,BRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,right_only,MIA→BRI,0,-0.1840135699667511,0,1.0122609858743499,0,3.22789921434132,1,1,0
MIA,FCO,3.0,0.0,786.0,25.0,2.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,Miami,Stati Uniti,USA,Roma,5,0.0,0.0,SDI,14.0,14.0,1.0,10.0,0.07142857142857142,0.07142857142857142,1.0,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,both,MIA→FCO,0,-0.08245528599791058,0,1.1335601612118404,0,2.230472247392517,0,0,0
MIA,FLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,right_only,MIA→FLR,0,-0.17045251808775397,0,1.1097491562846318,0,2.5771076642544473,0,0,0
MIA,LIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,4.0,4.0,2.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,right_only,MIA→LIN,0,-0.16180285637275066,0,1.157072696584215,0,3.0650540606105423,1,1,0
MIA,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,1.0,2.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,right_only,MIA→MXP,0,-0.15509086560927993,0,1.1530306023872368,0,2.685730640586978,0,0,0
MIA,NAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,right_only,MIA→NAP,0,-0.1835963143367923,0,1.0122609858743499,0,3.22789921434132,1,1,0
MJI,FCO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,Tripoli,Libia,LBY,Roma,5,0.0,0.0,NO REASON PROVIDED,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,MJI→FCO,0,-0.17480164788920477,0,2.1557325464129016,0,1.0905223492433862,0,0,0
MLE,BGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,6.0,6.0,2.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,right_only,MLE→BGY,0,-0.14805845544879093,0,1.1045659552314733,0,3.0650540606105423,1,1,0
MLE,BLQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,5.0,5.0,1.0,4.0,0.2,0.2,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,right_only,MLE→BLQ,0,-0.19082919171850032,0,1.7432446440296023,0,0.9318207504209951,0,0,0
MLE,FCO,4.0,0.0,571.0,28.0,3.0,0.0,328.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,Male,Maldive,MDV,Roma,5,0.0,0.0,MANUALE,14.0,10.0,2.0,7.0,0.2,0.2,0.7142857142857143,0.2,1.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,both,MLE→FCO,0,-0.1040900054832753,0,1.0629008005737535,0,1.8065257286006158,0,0,0
MLE,LIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,4.0,4.0,1.0,3.0,0.25,0.25,1.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,right_only,MLE→LIN,0,-0.1437092510623751,0,1.2514029532952708,0,2.5636117365672475,0,0,0
MLE,MXP,0.0,0.0,363.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,Maldive,MDV,Milano,2,0.0,0.0,NO REASON PROVIDED,26.0,30.0,10.0,23.0,0.3333333333333333,0.3333333333333333,1.1538461538461537,0.3333333333333333,1.0,0.0,0.0,0.4,0.0,0.5,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.07142857142857142,both,MLE→MXP,0,-0.11748140235960225,0,1.1611840376320468,0,1.2538964702442386,0,0,0
MLE,PMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,MLE→PMO,0,-0.20749515839248478,0,1.0076960958635386,0,0.8066728414995614,0,0,0
MLE,PSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,right_only,MLE→PSA,0,-0.1873933280085036,0,1.0207368238117716,0,3.0650540606105423,1,1,0
MLE,VCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,3.0,3.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,right_only,MLE→VCE,0,-0.16828687007058962,0,1.0863213908084457,0,1.4401849636128614,0,0,0
MLE,VRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,right_only,MLE→VRN,0,-0.1892647801306473,0,1.020635270483566,0,2.9676330128610218,0,0,0
MNL,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,MNL→FCO,0,-0.17153643794267248,0,1.0893603973360828,0,2.2219436892904385,0,0,0
MNL,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,3.0,3.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,right_only,MNL→MXP,0,-0.18525450868800486,0,1.0765421219863374,0,1.5515009399440183,0,0,0
MPM,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,right_only,MPM→FCO,0,-0.17923208504247834,0,1.0290539923971072,0,2.9676330128610218,0,0,0
MRU,FCO,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plaisance,Mauritius,MUS,Roma,5,0.0,0.0,INTERPOL,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,both,MRU→FCO,0,-0.14618064821093774,0,1.036017331561538,0,3.22789921434132,1,1,0
MRU,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,MRU→MXP,0,-0.20999168971614496,0,0.9981934632717635,0,0.8066728414995614,0,0,0
MRU,VCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,right_only,MRU→VCE,0,-0.13116593607883914,0,1.1099048530240387,0,2.5771076642544473,0,0,0
NAV,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,2.0,1.0,1.0,0.5,0.5,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,right_only,NAV→MXP,0,-0.15245534827855656,0,1.0398513714368711,0,2.5771076642544473,0,0,0
NBO,BLQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,right_only,NBO→BLQ,0,-0.1892647801306473,0,1.020635270483566,0,2.9676330128610218,0,0,0
NBO,VCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,NBO→VCE,0,-0.20999168971614496,0,0.9981934632717635,0,0.8066728414995614,0,0,0
NCL,BGY,0.0,2.0,0.0,12.0,0.0,0.0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle,Regno Unito,GBR,Bergamo,2,0.0,0.0,SDI,7.0,7.0,3.0,4.0,0.42857142857142855,0.42857142857142855,1.0,0.5,0.75,0.0,0.0,1.0,0.0,0.4,0.5,0.0,0.25,0.0,both,NCL→BGY,0,-0.08916764938030647,0,1.1555405868065685,0,2.685730640586978,0,0,0
NCL,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Newcastle,Regno Unito,GBR,Roma,5,0.0,0.0,NO REASON PROVIDED,2.0,3.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,both,NCL→FCO,0,-0.14415263033044362,0,1.034822987762252,0,3.154159415409377,1,1,0
NCL,TRN,0.0,0.0,364.0,0.0,0.0,0.0,181.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Newcastle,Regno Unito,GBR,Torino,1,0.0,0.0,INTERPOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,NCL→TRN,0,-0.1510421686118047,0,1.7820069259246274,0,1.830663330879188,0,0,0
