OCCURRENCES,ARRIVAL_AIRPORT_IATA,DEPARTURE_AIRPORT_IATA,DEPARTURE_DATE,ARRIVAL_AIRPORT_DESCRIPTION,DEPARTURE_AIRPORT_DESCRIPTION,ARRIVAL_CITY,DEPARTURE_CITY,ARRIVAL_COUNTRY_CODE,DEPARTURE_COUNTRY_CODE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY,ALARM_REASON,OPERATOR_NOTES,RISK_FLAG,DEPARTURE_COUNTRY_FULL,ARRIVAL_COUNTRY_CODE_FULL,ZONE_3,ARRIVAL_COUNTRY_PERCENTAGE,TOTAL_FLIGHTS
Allarmi Chiusi,MXP,DXB,2024-01-13 15:55:00,Malpensa,Dubai International,Milano,Dubai,ITA,,Italia,Emirati Arabi Uniti,No information provided,No information provided,LOW,Emirati Arabi Uniti,ITA,2,Italia,26.0
Allarmi generati da SDI/NSIS,BGY,STN,2024-01-11 13:15:00,Orio Al Serio,Stansted,Bergamo,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,2,Italia,11.0
"Voli solo visualizzati, ma NON investigati",VRN,LGW,2024-02-03 07:25:00,Verona Villafranca,London Gatwick,Verona,Unknown,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,4,Italia,1.0
Viaggiatori entrati nel Sistema,FCO,GIG,2024-01-27 15:45:00,Fiumicino,Galeao-Antonio Carlos Jobim International,Roma,Rio De Janeiro,ITA,BRA,Italia,Brasile,TSC,No information provided,LOW,Brasile,ITA,5,Italia,272.0
Allarmi generati da SDI/NSIS,VCE,DXB,2024-01-24 09:35:00,Venezia Marco Polo,Dubai International,Venezia,Dubai,ITA,,Italia,Emirati Arabi Uniti,NSIS,No information provided,LOW,Emirati Arabi Uniti,ITA,4,Italia,39.0
Viaggiatori entrati nel Sistema,BGY,STN,2024-01-09 20:45:00,Orio Al Serio,Nan,Bergamo,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,2,Italia,97.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),TSF,TIA,2024-02-18 06:50:00,Treviso-Sant'Angelo,Rinas Mother Teresa,Treviso,Tirana,ITA,ALB,Italia,Albania,TSC,No information provided,LOW,Albania,ITA,4,Italia,1.0
Allarmi generati da SDI/NSIS,FCO,IST,2024-01-28 09:15:00,Fiumicino,Istanbul Airport,Roma,Istanbul,ITA,,Italia,Turchia,INTERPOL,No information provided,LOW,Turchia,ITA,5,Italia,9.0
Viaggiatori entrati nel Sistema,MXP,PRN,2024-01-09 21:10:00,Malpensa,Prishtina International,Milano,Pristina,ITA,RKS,Italia,Cossovo,NSIS,No information provided,LOW,Cossovo,ITA,2,Italia,267.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),BGY,STN,2024-01-25 17:50:00,Orio Al Serio,Stansted,Bergamo,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,PEK,2024-01-10 13:25:00,Fiumicino,Beijing Capital International,Roma,Beijing,ITA,CHN,Italia,Cina,No information provided,No information provided,LOW,Cina,ITA,5,Italia,1.0
"Voli solo visualizzati, ma NON investigati",VCE,IST,2024-01-07 13:05:00,Venezia Marco Polo,Havalimani,Venezia,Istanbul,ITA,,Italia,Turchia,NSIS,No information provided,LOW,Turchia,ITA,4,Italia,1.0
Allarmi generati da SDI/NSIS,BLQ,DXB,2024-01-23 08:55:00,Guglielmo Marconi,Dubai International,Bologna,Dubai,ITA,,Italia,Emirati Arabi Uniti,SDI,No information provided,LOW,Emirati Arabi Uniti,ITA,8,Italia,34.0
Allarmi generati da SDI/NSIS,MXP,EWR,2024-02-09 21:50:00,Malpensa,Newark Liberty International,Milano,Newark,ITA,,Italia,Stati Uniti,Manuale,No information provided,LOW,Stati Uniti,ITA,2,Italia,1.0
Errata segnalazione SDI,MXP,JFK,2024-01-11 17:00:00,Malpensa,John F Kennedy International,Milano,New York,ITA,,Italia,Stati Uniti,INTERPOL,Alert manuale,LOW,Stati Uniti,ITA,2,Italia,1.0
Allarmi generati da SDI/NSIS,BGY,STN,2024-02-01 17:50:00,Orio Al Serio,Stansted,Bergamo,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,2,Italia,5.0
Allarmi Rilevanti,MXP,JED,2024-01-15 19:30:00,Malpensa,King Abdulaziz International,Milano,Jeddah,ITA,,Italia,Arabia Saudita,TSC,No information provided,LOW,Arabia Saudita,ITA,2,Italia,1.0
Allarmi generati da SDI/NSIS,NAP,STN,2024-02-04 09:05:00,Napoli Capodichino,Stansted,Napoli,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,6,Italia,9.0
