OCCURRENCES,ARRIVAL_AIRPORT_IATA,DEPARTURE_AIRPORT_IATA,DEPARTURE_DATE,ARRIVAL_AIRPORT_DESCRIPTION,DEPARTURE_AIRPORT_DESCRIPTION,ARRIVAL_CITY,DEPARTURE_CITY,ARRIVAL_COUNTRY_CODE,DEPARTURE_COUNTRY_CODE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY,ALARM_REASON,OPERATOR_NOTES,RISK_FLAG,DEPARTURE_COUNTRY_FULL,ARRIVAL_COUNTRY_CODE_FULL,ZONE_3,ARRIVAL_COUNTRY_PERCENTAGE,TOTAL_FLIGHTS
Voli con Allarmi,FCO,IST,2024-01-30 09:15:00,Fiumicino,Havalimani,Roma,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,5,Italia,1.0
Viaggiatori con Allarmi,CIA,STN,2024-02-03 13:15:00,Ciampino,Stansted,Roma,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,5,Italia,5.0
Viaggiatori entrati nel Sistema,FCO,LHR,2024-01-15 08:45:00,Fiumicino,London Heathrow,Roma,London,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,5,Italia,110.0
Voli con Allarmi,MXP,LHR,2024-02-02 08:40:00,Malpensa,London Heathrow,Milano,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori con Allarmi,PSA,BRS,2024-02-16 12:50:00,Galileo Galilei,Bristol,Pisa,Bristol,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,8,Italia,2.0
Voli con Allarmi,MXP,LHR,2024-01-06 09:20:00,Malpensa,Nan,Milano,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori investigati,VCE,SKP,2024-01-27 06:40:00,Venezia Marco Polo,Petrovec,Venezia,Skopje,ITA,MKD,Italia,Macedonia,Manuale,No information provided,LOW,Macedonia,ITA,4,Italia,165.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,DOH,2024-02-15 09:15:00,Fiumicino,Hamad International,Roma,Doha,ITA,QAT,Italia,Qatar,Manuale,No information provided,LOW,Qatar,ITA,5,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,RMO,2024-02-14 17:20:00,Fiumicino,Chisinau International Airport,Roma,Chisinau,ITA,MDA,Italia,Moldavia,No information provided,No information provided,LOW,Moldavia,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,MXP,SSH,2024-02-25 13:10:00,Malpensa,Sharm El-Sheikh International,Milano,Sharm El Sheikh,ITA,EGY,Italia,Egitto,SDI,No information provided,LOW,Egitto,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",FCO,CAI,2024-01-13 10:00:00,Fiumicino,Cairo International,Roma,Cairo,ITA,EGY,Italia,Egitto,No information provided,No information provided,LOW,Egitto,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,VCE,STN,2024-01-05 18:15:00,Venezia Marco Polo,Stansted,Venezia,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,4,Italia,1.0
Viaggiatori con Allarmi,MXP,JED,2024-02-11 19:30:00,Malpensa,King Abdulaziz International,Milano,Jeddah,ITA,,Italia,Arabia Saudita,TSC,No information provided,LOW,Arabia Saudita,ITA,2,Italia,32.0
"Voli solo visualizzati, ma NON investigati",BGY,STN,2024-02-23 07:15:00,Orio Al Serio,Stansted,Bergamo,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",FCO,BRS,2024-02-09 12:50:00,Fiumicino,Bristol,Roma,Bristol,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,5,Italia,1.0
Errata segnalazione SDI,FCO,SIN,2024-01-02 02:05:00,Fiumicino,Changi,Roma,Singapore,ITA,SGP,Italia,Singapore,No information provided,No information provided,LOW,Singapore,ITA,5,Italia,1.0
Voli con Allarmi,BLQ,TUN,2024-02-12 08:00:00,Guglielmo Marconi,Carthage,Bologna,Tunis,ITA,TUN,Italia,Tunisia,NSIS,No information provided,LOW,Tunisia,ITA,8,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),BGY,TIA,2024-01-15 17:10:00,Orio Al Serio,Rinas Mother Teresa,Bergamo,Tirana,ITA,ALB,Italia,Albania,Manuale,No information provided,LOW,Albania,ITA,2,Italia,1.0
Voli con Allarmi,MXP,HKG,2024-01-13 00:50:00,Malpensa,Nan,Milano,Hong Kong,ITA,,Italia,Hong Kong,Manuale,No information provided,LOW,Hong Kong,ITA,2,Italia,1.0
Voli disponibili in ingresso al Sistema,BLQ,IST,2024-01-28 00:00:00,Guglielmo Marconi,Havalimani,Bologna,Istanbul,ITA,,Italia,Turchia,NSIS,No information provided,LOW,Turchia,ITA,8,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,TUN,2024-01-24 11:25:00,Fiumicino,Carthage,Roma,Tunis,ITA,TUN,Italia,Tunisia,SDI,No information provided,LOW,Tunisia,ITA,5,Italia,1.0
Viaggiatori investigati,BLQ,CMN,2024-01-14 07:55:00,Guglielmo Marconi,Mohamed V,Bologna,Casablanca,ITA,MAR,Italia,Marocco,No information provided,No information provided,LOW,Marocco,ITA,8,Italia,158.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),MXP,TUN,2024-02-04 07:45:00,Malpensa,Carthage,Milano,Tunis,ITA,TUN,Italia,Tunisia,NSIS,No information provided,LOW,Tunisia,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",VRN,TIA,2024-01-29 20:30:00,Verona Villafranca,Rinas Mother Teresa,Verona,Tirana,ITA,ALB,Italia,Albania,No information provided,No information provided,LOW,Albania,ITA,4,Italia,1.0
Nulla a procedere SDI,CIA,MAN,2024-02-10 15:15:00,Ciampino,Manchester,Roma,Manchester,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,5,Italia,2.0
Voli con Allarmi,MXP,TPE,2024-02-19 23:05:00,Malpensa,Taiwan Taoyuan International,Milano,Taipei,ITA,TWN,Italia,Taiwan,Manuale,No information provided,LOW,Taiwan,ITA,2,Italia,1.0
Allarmi generati da SDI/NSIS,FCO,TPE,2024-01-11 23:25:00,Fiumicino,Taiwan Taoyuan International,Roma,Taipei,ITA,TWN,Italia,Taiwan,SDI,No information provided,LOW,Taiwan,ITA,5,Italia,8.0
Nulla a procedere SDI,BLQ,BEG,2024-02-25 17:30:00,Guglielmo Marconi,Nikola Tesla,Bologna,Belgrade,ITA,SRB,Italia,Serbia,INTERPOL,No information provided,LOW,Serbia,ITA,8,Italia,1.0
Viaggiatori investigati,NAP,IST,2024-02-08 17:55:00,Napoli Capodichino,Havalimani,Napoli,Istanbul,ITA,,Italia,Turchia,INTERPOL,No information provided,LOW,Turchia,ITA,6,Italia,120.0
Allarmi generati da SDI/NSIS,MXP,MCT,2024-01-19 17:25:00,Malpensa,Seeb,Milano,Muscat,ITA,OMN,Italia,Oman,No information provided,Doppio controllo,LOW,Oman,ITA,2,Italia,44.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),BGY,TIA,2024-02-18 15:15:00,Orio Al Serio,Rinas Mother Teresa,Bergamo,Tirana,ITA,ALB,Italia,Albania,No information provided,No information provided,LOW,Albania,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",FCO,ALG,2024-02-08 10:30:00,Fiumicino,Houari Boumediene,Roma,Algiers,ITA,DZA,Italia,Algeria,No information provided,No information provided,LOW,Algeria,ITA,5,Italia,2.0
Voli disponibili in ingresso al Sistema,FCO,TLV,2024-02-02 06:10:00,Fiumicino,Ben Gurion International,Roma,Tel Aviv,ITA,ISR,Italia,Israele,INTERPOL,No information provided,LOW,Israele,ITA,5,Italia,1.0
Allarmi Chiusi,GOA,TIA,2024-02-07 12:25:00,Cristoforo Colombo,Rinas Mother Teresa,Genova,Tirana,ITA,ALB,Italia,Albania,NSIS,No information provided,LOW,Albania,ITA,1,Italia,34.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),BLQ,DXB,2024-01-19 08:55:00,Guglielmo Marconi,Dubai International,Bologna,Dubai,ITA,,Italia,Emirati Arabi Uniti,TSC,Alert manuale,LOW,Emirati Arabi Uniti,ITA,8,Italia,1.0
Viaggiatori con Allarmi,FCO,IST,2024-01-08 21:10:00,Fiumicino,Havalimani,Roma,Istanbul,ITA,,Italia,Turchia,TSC,No information provided,LOW,Turchia,ITA,5,Italia,18.0
Voli con Allarmi,TRN,STN,2024-01-05 00:00:00,Sandro Pertini,Stansted,Torino,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,1,Italia,
Allarmi Chiusi,CIA,TIA,2024-01-12 08:10:00,Ciampino,Rinas Mother Teresa,Roma,Tirana,ITA,ALB,Italia,Albania,SDI,No information provided,LOW,Albania,ITA,5,Italia,10.0
Errata segnalazione NSIS,CIA,RAK,2024-01-01 05:45:00,Ciampino,Menara,Roma,Marrakech,ITA,MAR,Italia,Marocco,Manuale,No information provided,LOW,Marocco,ITA,5,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),NAP,IST,2024-02-01 08:00:00,Napoli Capodichino,Havalimani,Napoli,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,6,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),MXP,TLV,2024-02-14 15:45:00,Malpensa,Ben Gurion International,Milano,Tel Aviv,ITA,ISR,Italia,Israele,SDI,No information provided,LOW,Israele,ITA,2,Italia,1.0
Voli disponibili in ingresso al Sistema,BGY,CAI,2024-01-22 07:50:00,Orio Al Serio,Cairo International,Bergamo,Cairo,ITA,EGY,Italia,Egitto,No information provided,No information provided,LOW,Egitto,ITA,2,Italia,1.0
Nulla a procedere SDI,FCO,SAW,2024-02-14 15:35:00,Fiumicino,Sabiha Gokcen,Roma,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,5,Italia,5.0
Allarmi Rilevanti,CIA,RAK,2024-02-13 06:15:00,Ciampino,Menara,Roma,Marrakech,ITA,MAR,Italia,Marocco,Manuale,No information provided,LOW,Marocco,ITA,5,Italia,3.0
"Voli solo visualizzati, ma NON investigati",BLQ,SAW,2024-01-22 11:30:00,Guglielmo Marconi,Sabiha Gokcen,Bologna,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,8,Italia,1.0
Nulla a procedere SDI,FCO,LGW,2024-01-12 16:40:00,Fiumicino,London Gatwick,Roma,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,5,Italia,2.0
Allarmi generati da SDI/NSIS,FCO,SAW,2024-02-16 10:40:00,Fiumicino,Nan,Roma,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,5,Italia,4.0
Allarmi Rilevanti,CTA,DXB,2024-02-04 07:35:00,Fontanarossa,Dubai International,Catania,Dubai,ITA,,Italia,Emirati Arabi Uniti,SDI,No information provided,LOW,Emirati Arabi Uniti,ITA,7,Italia,1.0
Voli disponibili in ingresso al Sistema,CTA,TIA,2024-02-11 08:20:00,Fontanarossa,Rinas Mother Teresa,Catania,Tirana,ITA,ALB,Italia,Albania,No information provided,No information provided,LOW,Albania,ITA,7,Italia,1.0
"Voli solo visualizzati, ma NON investigati",FCO,ICN,2024-01-03 13:20:00,Fiumicino,Incheon International,Roma,Seoul,ITA,,Italia,Corea Del Sud,SDI,No information provided,LOW,Corea Del Sud,ITA,5,Italia,1.0
"Voli solo visualizzati, ma NON investigati",PMO,TUN,2024-01-01 10:30:00,Punta Raisi,Carthage,Palermo,Tunis,ITA,TUN,Italia,Tunisia,TSC,No information provided,LOW,Tunisia,ITA,7,Italia,1.0
Viaggiatori con Allarmi,MXP,LHR,2024-02-20 11:40:00,Malpensa,London Heathrow,Milano,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,2,Italia,2.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),LIN,LCY,2024-01-08 08:20:00,Linate,London City,Milano,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,2,Italia,
Voli investigati (SDI/NSIS - INTERPOL - TSC),VCE,TIA,2024-01-25 21:20:00,Venezia Marco Polo,Rinas Mother Teresa,Venezia,Tirana,ITA,ALB,Italia,Albania,No information provided,No information provided,LOW,Albania,ITA,4,Italia,1.0
"Voli solo visualizzati, ma NON investigati",VCE,IST,2024-01-25 08:10:00,Venezia Marco Polo,Havalimani,Venezia,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,4,Italia,1.0
Voli con Allarmi,FCO,DXB,2024-01-18 08:55:00,Fiumicino,Dubai International,Roma,Dubai,ITA,,Italia,Emirati Arabi Uniti,TSC,No information provided,LOW,Emirati Arabi Uniti,ITA,5,Italia,1.0
Viaggiatori con Allarmi,BLQ,CMN,2024-02-15 19:10:00,Guglielmo Marconi,Mohamed V,Bologna,Casablanca,ITA,MAR,Italia,Marocco,SDI,No information provided,LOW,Marocco,ITA,8,Italia,41.0
Nulla a procedere SDI,FCO,SAW,2024-01-27 12:20:00,Fiumicino,Sabiha Gokcen,Roma,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,5,Italia,6.0
Voli disponibili in ingresso al Sistema,BGY,CAI,2024-01-05 07:55:00,Orio Al Serio,Cairo International,Bergamo,Cairo,ITA,EGY,Italia,Egitto,INTERPOL,No information provided,LOW,Egitto,ITA,2,Italia,1.0
Allarmi generati da SDI/NSIS,BGY,TIA,2024-02-24 22:05:00,Orio Al Serio,Rinas Mother Teresa,Bergamo,Tirana,ITA,ALB,Italia,Albania,INTERPOL,No information provided,LOW,Albania,ITA,2,Italia,35.0
Viaggiatori investigati,FCO,IKA,2024-02-22 00:00:00,Fiumicino,Imam Khomeini International,Roma,Tehran,ITA,IRN,Italia,Iran,Manuale,No information provided,LOW,Iran,ITA,5,Italia,138.0
Voli con Allarmi,MXP,AUH,2024-02-22 03:10:00,Malpensa,Abu Dhabi International,Milano,Abu Dhabi,ITA,,Italia,Emirati Arabi Uniti,Manuale,No information provided,LOW,Emirati Arabi Uniti,ITA,2,Italia,1.0
Allarmi generati da SDI/NSIS,FCO,LHR,2024-02-08 12:40:00,Fiumicino,London Heathrow,Roma,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,5,Italia,6.0
Allarmi Chiusi,VCE,TIA,2024-01-07 12:30:00,Venezia Marco Polo,Rinas Mother Teresa,Venezia,Tirana,ITA,ALB,Italia,Albania,TSC,No information provided,LOW,Albania,ITA,4,Italia,34.0
Viaggiatori investigati,CIA,STN,2024-01-13 13:15:00,Ciampino,Stansted,Roma,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,5,Italia,150.0
"Voli solo visualizzati, ma NON investigati",FCO,CAI,2024-02-24 04:30:00,Fiumicino,Cairo International,Roma,Cairo,ITA,EGY,Italia,Egitto,TSC,No information provided,LOW,Egitto,ITA,5,Italia,1.0
Viaggiatori entrati nel Sistema,MXP,TPE,2024-01-09 23:05:00,Malpensa,Taiwan Taoyuan International,Milano,Taipei,ITA,TWN,Italia,Taiwan,No information provided,No information provided,LOW,Taiwan,ITA,2,Italia,279.0
"Voli solo visualizzati, ma NON investigati",CIA,STN,2024-02-25 00:00:00,Ciampino,Stansted,Roma,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,5,Italia,1.0
Viaggiatori entrati nel Sistema,MXP,SPX,2024-01-03 19:50:00,Malpensa,Sphinx International,Milano,Giza,ITA,EGY,Italia,Egitto,No information provided,No information provided,LOW,Egitto,ITA,2,Italia,197.0
Voli disponibili in ingresso al Sistema,FCO,MLE,2024-02-05 13:25:00,Fiumicino,Male International,Roma,Male,ITA,MDV,Italia,Maldive,Manuale,No information provided,LOW,Maldive,ITA,5,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),BLQ,LHR,2024-01-06 13:55:00,Guglielmo Marconi,Nan,Bologna,London,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,8,Italia,1.0
"Voli solo visualizzati, ma NON investigati",MXP,IST,2024-01-29 08:40:00,Malpensa,Havalimani,Milano,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,CIA,TIA,2024-01-04 18:55:00,Ciampino,Rinas Mother Teresa,Roma,Tirana,ITA,ALB,Italia,Albania,No information provided,No information provided,HIGH,Albania,ITA,5,Italia,187.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),MXP,SPX,2024-02-05 12:05:00,Malpensa,Sphinx International,Milano,Giza,ITA,EGY,Italia,Egitto,NSIS,No information provided,LOW,Egitto,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",BLQ,LHR,2024-02-01 14:35:00,Guglielmo Marconi,London Heathrow,Bologna,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,8,Italia,1.0
Viaggiatori investigati,FCO,AUH,2024-01-22 19:30:00,Fiumicino,Abu Dhabi International,Roma,Abu Dhabi,ITA,,Italia,Emirati Arabi Uniti,SDI,No information provided,LOW,Emirati Arabi Uniti,ITA,5,Italia,95.0
Viaggiatori con Allarmi,NAP,DXB,2024-01-21 07:30:00,Napoli Capodichino,Dubai International,Napoli,Dubai,ITA,,Italia,Emirati Arabi Uniti,Manuale,No information provided,LOW,Emirati Arabi Uniti,ITA,6,Italia,10.0
"Voli solo visualizzati, ma NON investigati",CTA,IST,2024-02-07 07:55:00,Fontanarossa,Havalimani,Catania,Istanbul,ITA,,Italia,Turchia,INTERPOL,No information provided,LOW,Turchia,ITA,7,Italia,1.0
Viaggiatori investigati,FCO,GRU,2024-01-29 20:40:00,Fiumicino,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International,Roma,Sao Paulo,ITA,BRA,Italia,Brasile,NSIS,No information provided,LOW,Brasile,ITA,5,Italia,247.0
Allarmi Chiusi,BGY,FEZ,2024-01-19 20:55:00,Orio Al Serio,Saiss,Bergamo,Fes,ITA,MAR,Italia,Marocco,SDI,No information provided,LOW,Marocco,ITA,2,Italia,25.0
Voli con Allarmi,NAP,DXB,2024-02-19 07:30:00,Napoli Capodichino,Dubai International,Napoli,Dubai,ITA,,Italia,Emirati Arabi Uniti,Manuale,No information provided,LOW,Emirati Arabi Uniti,ITA,6,Italia,1.0
Viaggiatori investigati,FCO,CMN,2024-02-04 13:00:00,Fiumicino,Mohamed V,Roma,Casablanca,ITA,MAR,Italia,Marocco,INTERPOL,No information provided,LOW,Marocco,ITA,5,Italia,109.0
Viaggiatori entrati nel Sistema,TSF,TIA,2024-02-24 15:25:00,Treviso-Sant'Angelo,Rinas Mother Teresa,Treviso,Tirana,ITA,ALB,Italia,Albania,TSC,No information provided,LOW,Albania,ITA,4,Italia,170.0
Voli con Allarmi,MXP,IST,2024-01-30 08:40:00,Malpensa,Havalimani,Milano,Istanbul,ITA,,Italia,Turchia,TSC,No information provided,LOW,Turchia,ITA,2,Italia,1.0
Viaggiatori investigati,BGY,STN,2024-01-19 19:05:00,Orio Al Serio,Stansted,Bergamo,London,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,2,Italia,161.0
Allarmi generati da SDI/NSIS,NAP,LGW,,Napoli Capodichino,London Gatwick,Napoli,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,6,Italia,8.0
Viaggiatori entrati nel Sistema,TSF,TIA,2024-01-17 16:05:00,Treviso-Sant'Angelo,Rinas Mother Teresa,Treviso,Tirana,ITA,ALB,Italia,Albania,SDI,No information provided,LOW,Albania,ITA,4,Italia,178.0
Viaggiatori investigati,MXP,STN,2024-01-28 11:40:00,Malpensa,Stansted,Milano,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,2,Italia,177.0
Viaggiatori investigati,TRN,LGW,2024-02-12 08:10:00,Sandro Pertini,London Gatwick,Torino,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,1,Italia,143.0
Voli con Allarmi,MXP,CAI,2024-02-03 13:00:00,Malpensa,Cairo International,Milano,Cairo,ITA,EGY,Italia,Egitto,TSC,No information provided,LOW,Egitto,ITA,2,Italia,1.0
Voli disponibili in ingresso al Sistema,FCO,DOH,2024-01-15 02:30:00,Fiumicino,Hamad International,Roma,Doha,ITA,QAT,Italia,Qatar,TSC,Passeggero noto,LOW,Qatar,ITA,5,Italia,1.0
Allarmi generati da SDI/NSIS,BGY,CAI,2024-02-12 07:50:00,Orio Al Serio,Cairo International,Bergamo,Cairo,ITA,EGY,Italia,Egitto,No information provided,No information provided,LOW,Egitto,ITA,2,Italia,37.0
"Voli solo visualizzati, ma NON investigati",BGY,MAN,2024-02-25 08:45:00,Orio Al Serio,Manchester,Bergamo,Manchester,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,BGY,CAI,2024-01-04 00:00:00,Orio Al Serio,Cairo International,Bergamo,Cairo,ITA,EGY,Italia,Egitto,INTERPOL,No information provided,LOW,Egitto,ITA,2,Italia,165.0
Voli con Allarmi,FCO,LGW,,Fiumicino,London Gatwick,Roma,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,5,Italia,1.0
Viaggiatori investigati,FCO,HGH,2024-01-10 00:55:00,Fiumicino,Hangzhou,Roma,Hangzhou,ITA,CHN,Italia,Cina,SDI,No information provided,LOW,Cina,ITA,5,Italia,238.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),LIN,LHR,2024-01-11 06:45:00,Linate,London Heathrow,Milano,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Voli con Allarmi,BGY,CMN,2024-01-02 07:00:00,Orio Al Serio,Mohamed V,Bergamo,Casablanca,ITA,MAR,Italia,Marocco,SDI,No information provided,LOW,Marocco,ITA,2,Italia,1.0
Viaggiatori investigati,MXP,CAI,2024-02-17 00:00:00,Malpensa,Cairo International,Milano,Cairo,ITA,EGY,Italia,Egitto,TSC,No information provided,LOW,Egitto,ITA,2,Italia,101.0
Nulla a procedere SDI,VCE,IST,2024-02-21 08:10:00,Venezia Marco Polo,Havalimani,Venezia,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,4,Italia,8.0
Allarmi generati da SDI/NSIS,BGY,TIA,2024-01-09 00:00:00,Orio Al Serio,Rinas Mother Teresa,Bergamo,Tirana,ITA,ALB,Italia,Albania,TSC,No information provided,LOW,Albania,ITA,2,Italia,25.0
Viaggiatori entrati nel Sistema,TRN,LGW,2024-01-08 00:00:00,Sandro Pertini,London Gatwick,Torino,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,1,Italia,122.0
Nulla a procedere SDI,PSA,TIA,2024-02-22 21:50:00,Galileo Galilei,Rinas Mother Teresa,Pisa,Tirana,ITA,ALB,Italia,Albania,SDI,No information provided,LOW,Albania,ITA,8,Italia,19.0
Viaggiatori con Allarmi,FCO,WNZ,2024-01-25 11:00:00,Fiumicino,Wenzhou,Roma,Wenzhou,ITA,CHN,Italia,Cina,NSIS,No information provided,LOW,Cina,ITA,5,Italia,70.0
Allarmi generati da SDI/NSIS,FCO,DOH,2024-01-06 09:15:00,Fiumicino,Hamad International,Roma,Doha,ITA,QAT,Italia,Qatar,No information provided,No information provided,LOW,Qatar,ITA,5,Italia,13.0
Voli con Allarmi,MXP,TLV,2024-01-22 15:45:00,Malpensa,Ben Gurion International,Milano,Tel Aviv,ITA,ISR,Italia,Israele,SDI,No information provided,LOW,Israele,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,FCO,AMM,2024-01-24 12:00:00,Fiumicino,Queen Alia International,Roma,Amman,ITA,JOR,Italia,Giordania,TSC,No information provided,LOW,Giordania,ITA,5,Italia,37.0
Allarmi generati da SDI/NSIS,FCO,ICN,2024-02-06 14:05:00,Fiumicino,Incheon International,Roma,Seoul,ITA,,Italia,Corea Del Sud,TSC,No information provided,LOW,Corea Del Sud,ITA,5,Italia,2.0
Allarmi generati da BCS,FCO,GRU,2024-01-06 18:00:00,Fiumicino,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International,Roma,Sao Paulo,ITA,BRA,Italia,Brasile,TSC,No information provided,LOW,Brasile,ITA,5,Italia,1.0
Allarmi generati da SDI/NSIS,FCO,DOH,2024-02-25 02:30:00,Fiumicino,Hamad International,Roma,Unknown,ITA,QAT,Italia,Qatar,INTERPOL,No information provided,LOW,Qatar,ITA,5,Italia,14.0
Nulla a procedere SDI,BLQ,TIA,2024-01-23 11:05:00,Guglielmo Marconi,Rinas Mother Teresa,Bologna,Tirana,ITA,ALB,Italia,Albania,TSC,No information provided,LOW,Albania,ITA,8,Italia,12.0
"Voli solo visualizzati, ma NON investigati",BLQ,IST,2024-02-06 09:25:00,Guglielmo Marconi,Havalimani,Bologna,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,8,Italia,1.0
Viaggiatori investigati,BLQ,IST,2024-02-17 09:25:00,Guglielmo Marconi,Havalimani,Bologna,Istanbul,ITA,,Italia,Turchia,TSC,No information provided,LOW,Turchia,ITA,8,Italia,156.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),LIN,LCY,2024-01-13 08:30:00,Linate,London City,Milano,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori investigati,VRN,KIV,2024-01-07 10:00:00,Verona Villafranca,Chisinau International Airport,Verona,Chisinau,ITA,MDA,Italia,Moldavia,NSIS,No information provided,LOW,Moldavia,ITA,4,Italia,
Voli investigati (SDI/NSIS - INTERPOL - TSC),BGY,SAW,2024-01-23 10:35:00,Orio Al Serio,Sabiha Gokcen,Bergamo,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,2,Italia,1.0
Voli disponibili in ingresso al Sistema,FCO,AMM,2024-01-02 12:00:00,Fiumicino,Queen Alia International,Roma,Amman,ITA,JOR,Italia,Giordania,NSIS,No information provided,LOW,Giordania,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,MXP,CAI,2024-01-05 09:35:00,Malpensa,Cairo International,Milano,Cairo,ITA,EGY,Italia,Egitto,TSC,No information provided,LOW,Egitto,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,MXP,WNZ,2024-02-24 12:40:00,Malpensa,Wenzhou,Milano,Wenzhou,ITA,CHN,Italia,Cina,INTERPOL,No information provided,LOW,Cina,ITA,2,Italia,
Voli con Allarmi,MXP,SSH,2024-01-02 21:35:00,Malpensa,Sharm El-Sheikh International,Milano,Sharm El Sheikh,ITA,EGY,Italia,Egitto,NSIS,No information provided,LOW,Egitto,ITA,2,Italia,1.0
Viaggiatori investigati,PEG,TIA,2024-01-03 12:30:00,Sant Egidio,Rinas Mother Teresa,Perugia,Tirana,ITA,ALB,Italia,Albania,NSIS,No information provided,LOW,Albania,ITA,5,Italia,134.0
